Ticker,Company,Net Income ($M),Income ≥$75M,EPS 5yr Growth,ROE (%),ROE >10%,Int. Coverage,Int.Cov >1,Insider %,Score
AAPL,Apple Inc.,"112,010",PASS,N/A,152.0,PASS,33.8,PASS,1.6,3/4
MSFT,Microsoft Corporation,"101,832",PASS,N/A,34.4,PASS,52.8,PASS,0.1,3/4
GOOGL,Alphabet Inc.,"132,170",PASS,N/A,35.7,PASS,216.8,PASS,0.6,3/4
JNJ,Johnson & Johnson,"26,804",PASS,N/A,35.0,PASS,34.6,PASS,0.1,3/4
KO,Coca-Cola Company (The),"13,107",PASS,N/A,43.3,PASS,10.7,PASS,9.9,3/4
PG,Procter & Gamble Company (The),"15,974",PASS,N/A,31.6,PASS,23.2,PASS,0.1,3/4
WMT,Walmart Inc.,"19,436",PASS,N/A,21.8,PASS,10.6,PASS,45.0,3/4
V,Visa Inc.,"20,058",PASS,N/A,54.0,PASS,42.1,PASS,0.6,3/4
BRK-B,Berkshire Hathaway Inc. New,"66,968",PASS,N/A,9.8,FAIL,17.3,PASS,0.4,2/4
JPM,JP Morgan Chase & Co.,"57,048",PASS,N/A,16.1,PASS,N/A,FAIL,0.4,2/4
